,recipeID,ingredient_and_quantity,ingredient_gt
5618,430,sprig of fresh rosemary,rosemary
5619,430,1 lemon,lemon
5620,430,120g tenderstem broccoli,broccoli
5621,430,6 vine tomatoes,tomatoes
5622,430,300g jarred roast peppers,roast peppers
5623,430,1 avocado,avocado
5624,430,bunch of fresh basil,basil
5625,430,1 red chilli,chilli
5626,430,2 romaine lettuce hearts,romaine lettuce
5627,430,1/2 cucumber,cucumber
5628,430,120g kalamata olives,kalamata olives
5629,430,70g parmesan,parmesan
5630,430,olive oil,olive oil
5631,430,salt,salt
5632,430,pepper,pepper
5633,431,1 leek,leek
5634,431,1 clove of garlic,garlic
5635,431,handful of parsley,parsley
5636,431,15g capers,capers
5637,431,15g parmesan,parmesan
5638,431,550ml milk,milk
5639,431,2 fillets of salmon,salmon
5640,431,2 fillets of smoked haddock,haddock
5641,431,30g butter,butter
5642,431,3 anchovies,anchovies
5643,431,40g flour,flour
5644,431,350g raw king prawns,king prawns
5645,431,1kg maris pipers,yellow potatoes
5646,431,20g panko breadcrumbs,panko breadcrumbs
5647,431,30g butter,butter
5648,431,20ml milk,milk
5649,431,salt,salt
5650,431,pepper,pepper
5651,432,1.5kg potatoes,potatoes
5652,432,2 tbsp plain flour,flour
5653,432,2 red peppers,peppers
5654,432,3 small onions,onions
5655,432,2 green chillies,chillies
5656,432,4 cloves of garlic,garlic
5657,432,3cm knob of ginger,ginger
5658,432,"2 spring onions, to garnish",spring onions
5659,432,3 tsp chinese five spice powder,five spice
5660,432,2 tsp msg,msg
5661,432,salt,salt
5662,432,vegetable oil,vegetable oil
5663,433,200g courgettes,zucchini
5664,433,150g halloumi,halloumi
5665,433,bunch of parsley,parsley
5666,433,bunch of dill,dill
5667,433,100g gram flour,flour
5668,433,1 tsp baking powder,powder
5669,433,pinch of chilli powder,chilli powder
5670,433,1 egg,egg
5671,433,"tzatziki, to serve",tzatziki
5672,433,salt,salt
5673,433,vegetable oil,vegetable oil
5674,434,1kg pork ribs,pork ribs
5675,434,50ml french’s mustard,mustard
5676,434,1 tsp cayenne pepper,cayenne pepper
5677,434,1 tsp smoked paprika,paprika
5678,434,300ml apple juice,apple juice
5679,434,60ml french’s mustard,mustard
5680,434,60ml honey,honey
5681,434,30g brown sugar,sugar
5682,434,1 tsp soy sauce,soy sauce
5683,434,1⁄2 tsp cayenne pepper,cayenne pepper
5684,434,100g plain flour,flour
5685,434,2 eggs,eggs
5686,434,100g panko breadcrumbs,panko breadcrumbs
5687,434,2 tbsp french's mustard,mustard
5688,434,salt,salt
5689,434,vegetable oil,vegetable oil
5690,435,140g butter,butter
5691,435,250g plain flour,flour
5692,435,30g caster sugar,caster sugar
5693,435,1/2 orange,orange
5694,435,2 egg yolks,egg
5695,435,3 tbsp very cold water,water
5696,435,300g pecans,pecans
5697,435,110g butter,butter
5698,435,150g light brown sugar,sugar
5699,435,150g maple syrup,maple syrup
5700,435,4 eggs,eggs
5701,435,1/2 tsp cinnamon powder,ground cinnamon
5702,435,1/2 tsp vanilla extract,vanilla extract
5703,435,"300ml double cream, to serve ",double cream
5704,435,salt,salt
5705,436,500g spaghetti,spaghetti
5706,436,80g parmesan,parmesan
5707,436,80g pecorino,pecorino
5708,436,70g unsalted butter,butter
5709,436,salt,salt
5710,436,black pepper,pepper
5711,437,500g spring onions,spring onions
5712,437,6 cloves of garlic,garlic
5713,437,5cm knob of ginger,ginger
5714,437,2 birds eye chillis,chillies
5715,437,3 tbsp light soy sauce,soy sauce
5716,437,400g fine egg noodles,chow mein noodles
5717,437,vegetable oil,vegetable oil
5718,438,400g firm tofu,tofu
5719,438,320g baby pak choi,pak choi
5720,438,20g coriander,coriander
5721,438,2 carton of itsu miso mushroom brilliant'broth,broth
5722,438,200g flat rice noodles,rice noodles
5723,438,2-4 tbsp cornflour,cornflour
5724,438,2 tbsp sesame oil,sesame oil
5725,438,200g shiitake mushrooms,shiitake mushrooms
5726,438,320g beansprouts,beansprouts
5727,438,vegetable oil,vegetable oil
5728,438,4cm ginger,ginger
5729,438,2 garlic cloves,garlic
5730,438,2 tbsp tomato puree,tomato puree
5731,438,2 tbsp maple syrup,maple syrup
5732,438,1 tsp chilli powder,chilli powder
5733,438,4 tbsp soy sauce,soy sauce
5734,438,2 tbsp sesame oil,sesame oil
5735,438,handful of coriander,coriander
5736,438,1 lime,lime
5737,438,2 tbsp sesame seeds,sesame seeds
5738,439,"2 cloves of garlic, grated",garlic
5739,439,1⁄2 tsp chilli flakes,chilli
5740,439,600ml passata,passata
5741,439,1 onion,onion
5742,439,1 clove of garlic,garlic
5743,439,1⁄2 tsp fennel seeds,fennel seeds
5744,439,handful of fresh parsley,parsley
5745,439,50g parmesan,parmesan
5746,439,150g chestnut mushrooms,chestnut mushrooms
5747,439,300g pork mince,pork mince
5748,439,60g fresh breadcrumbs,breadcrumbs
5749,439,1 tsp salt,salt
5750,439,1 tsp pepper,pepper
5751,439,150g mozzarella,mozzarella
5752,439,30g parmesan,parmesan
5753,439,handful of basil,basil
5754,439,salt,salt
5755,439,pepper,pepper
5756,439,olive oil,olive oil
5757,440,500g new potatoes,potatoes
5758,440,3 red peppers,peppers
5759,440,3 red onions,onions
5760,440,1 whole chicken,chicken
5761,440,3 tbsp peri peri seasoning,peri peri seasoning
5762,440,350g tenderstem broccoli,broccoli
5763,440,olive oil,olive oil
5764,440,salt,salt
5765,440,2 tbsp red wine vinegar,wine vinegar
5766,441,1 large cauliflower,cauliflower
5767,441,1 tsp aleppo pepper,aleppo pepper
5768,441,200g roasted red peppers,peppers
5769,441,20g breadcrumbs,breadcrumbs
5770,441,15g walnuts,walnuts
5771,441,1 tbsp tomato puree,tomato puree
5772,441,1 tbsp pomegranate molasses,pomegranate molasses
5773,441,1/2 tsp aleppo pepper,aleppo pepper
5774,441,35ml good quality olive oil,olive oil
5775,441,30ml tahini,tahini
5776,441,1 lemon,lemon
5777,441,handful of parsley,parsley
5778,441,30g pomegranate seeds,pomegranate seeds
5779,441,salt,salt
5780,441,olive oil,olive oil
5781,442,1 head of cauliflower,cauliflower
5782,442,300g tomatoes,tomatoes
5783,442,1 red onion,onion
5784,442,1 tsp very lazy chopped garlic,garlic
5785,442,1 tsp very lazy chopped ginger,ginger
5786,442,1 tsp ground cumin,cumin
5787,442,1 tsp ground coriander,coriander
5788,442,1 tsp turmeric,turmeric
5789,442,1⁄2 tsp chilli powder,chilli powder
5790,442,1⁄2 tsp ground cardamom,cardamom
5791,442,50g ground almonds,almonds
5792,442,200ml vegetable stock,vegetable stock
5793,442,400ml coconut milk,coconut milk
5794,442,20g flaked almonds,flaked almonds
5795,442,handful of coriander,coriander
5796,442,"rice, to serve",rice
5797,442,salt,salt
5798,442,pepper,pepper
5799,442,vegetable oil,vegetable oil
5800,443,1 onion,onion
5801,443,handful of coriander,coriander
5802,443,2 eggs,eggs
5803,443,350g skinless smoked haddock,haddock
5804,443,1 makrut lime leaf,makrut lime leaves
5805,443,1 tbsp mustard seeds,mustard seeds
5806,443,1 tbsp cumin seeds,cumin seeds
5807,443,1 knob of ginger,ginger
5808,443,1 garlic clove,garlic
5809,443,1 lemon,lemon
5810,443,1 tbsp curry powder,curry powder
5811,443,2 x 250g pouches of tilda coconut cooked rice,coconut rice
5812,443,vegetable oil,vegetable oil
5813,443,salt,salt
5814,443,pepper,pepper
5815,444,2 cloves of garlic,garlic
5816,444,2 tsp cumin seeds,cumin seeds
5817,444,800g lamb shoulder,lamb shoulder
5818,444,1 tbsp sherry vinegar ,sherry vinegar or lemon juice
5819,444,2 tsp fresh or 1 tsp dried oregano,oregano
5820,444,2 tsp smoked paprika,paprika
5821,444,1 tsp cayenne or hot paprika,cayenne or hot paprika
5822,444,1 tsp turmeric powder,turmeric
5823,444,4 large vine tomatoes,vine tomatoes
5824,444,1⁄2 red onion,red onion
5825,444,1⁄2 lemon,lemon
5826,444,2 tbsp dukkah,dukkah
5827,444,handful of coriander leaves,coriander leaves
5828,444,4 tbsp natural yoghurt,yoghurt
5829,444,35g blanched almonds,blanched almonds
5830,444,20g hazelnuts,hazelnuts
5831,444,2 tbsp sesame seeds,sesame seeds
5832,444,2 tsp coriander seeds,coriander seeds
5833,444,2 tsp cumin seeds,cumin seeds
5834,444,1⁄2 tsp fennel seeds,fennel seeds
5835,444,a pinch of chilli flakes ,chilli flakes
5836,444,salt,salt
5837,444,pepper,pepper
5838,444,olive oil,olive oil
5839,445,2.4kg tinned whole plum tomatoes,tomatoes
5840,445,10 cloves of garlic,garlic
5841,445,20g butter,butter
5842,445,500g spaghetti,spaghetti
5843,445,60g best quality parmesan,parmesan
5844,445,salt,salt
5845,445,pepper,pepper
5846,445,olive oil,olive oil
5847,446,500g cherry tomatoes,cherry tomatoes
5848,446,1 red onion,onion
5849,446,200g pancetta,pancetta
5850,446,1 tsp very lazy chilli,chilli
5851,446,1 tsp very lazy garlic,garlic
5852,446,800ml passata,passata
5853,446,1kg gnocchi,gnocchi
5854,446,50g parmesan,parmesan
5855,446,"handful of basil, to serve",basil
5856,446,salt,salt
5857,446,pepper,pepper
5858,446,olive oil,olive oil
5859,447,1 cooking pumpkin,pumpkin
5860,447,1 red chilli,chilli
5861,447,1 bulb of garlic,garlic
5862,447,250g large conchiglie,conchiglie
5863,447,30g butter,butter
5864,447,handful of sage leaves,sage leaves
5865,447,30g plain flour,flour
5866,447,600ml whole milk,milk
5867,447,150g mature cheddar,cheddar
5868,447,25g parmesan,parmesan
5869,447,pinch of nutmeg,nutmeg
5870,447,100g mozzarella,mozzarella
5871,447,salt,salt
5872,447,pepper,pepper
5873,447,olive oil,olive oil
5874,448,2 onions,onions
5875,448,2 red peppers,peppers
5876,448,200ml pineapple juice,pineapple juice
5877,448,90ml apple cider vinegar,apple cider vinegar
5878,448,80g light brown sugar,sugar
5879,448,90ml ketchup,ketchup
5880,448,1 tsp soy sauce,soy sauce
5881,448,1 tbsp cornflour,cornflour
5882,448,50g cornflour,cornflour
5883,448,400g king prawns,king prawns
5884,448,1⁄4 tsp white sugar,sugar
5885,448,1⁄4 tsp white pepper,pepper
5886,448,1 egg,egg
5887,448,400g tilda easy cook long grain rice,grain rice
5888,448,3 garlic cloves,garlic
5889,448,3 spring onions,spring onions
5890,448,1 red chilli,chilli
5891,448,3 eggs,eggs
5892,448,2 tbsp soy sauce,soy sauce
5893,448,1 tbsp sesame oil,sesame oil
5894,448,1⁄2 tsp white pepper powder,pepper powder
5895,449,1 mango,mango
5896,449,2 passionfruits,passion fruit
5897,449,30g coconut flakes,coconut
5898,449,200g quaker rolled oats,oats
5899,449,500ml coconut milk,coconut milk
5900,449,salt,salt
5901,450,1 cooking pumpkin,pumpkin
5902,450,2 tsp ground cumin,cumin
5903,450,1 1⁄2 tsp chilli powder,chilli powder
5904,450,3 cardamom pods,cardamom pods
5905,450,2 cinnamon sticks,cinnamon
5906,450,1 red onion,onion
5907,450,2 cloves of garlic,garlic
5908,450,2cm knob of ginger,ginger
5909,450,600g passata,passata
5910,450,1 tsp garam masala,garam masala
5911,450,1 tbsp honey,honey
5912,450,175g coconut yoghurt,coconut yoghurt
5913,450,"handful of coriander, to serve",coriander
5914,450,2 x 250g pouches of tilda pure basmati rice,basmati rice
5915,450,salt,salt
5916,450,vegetable oil,vegetable oil
5917,451,6 pork sausages,pork sausages
5918,451,1 red onion,onion
5919,451,2 cloves of garlic,garlic
5920,451,1 tsp chilli flakes,chilli
5921,451,1⁄2 tsp fennel seeds,fennel seeds
5922,451,150ml white wine,wine
5923,451,250ml chicken stock,chicken stock
5924,451,800g napolina chopped tomatoes,tomatoes
5925,451,300g napolina wholewheat penne,penne
5926,451,150g mozzarella,mozzarella
5927,451,handful of basil,basil
5928,451,salt,salt
5929,451,pepper,pepper
5930,451,napolina olive oil,olive oil
5931,452,1 white onion,onion
5932,452,2 spring onions,spring onions
5933,452,3cm knob of ginger,ginger
5934,452,2 cloves garlic,garlic
5935,452,500g pork belly,pork belly
5936,452,"1l water, plus 250 ml",water
5937,452,2 tbsp dark brown sugar,brown dark sugar
5938,452,3 tbsp light soy sauce,soy sauce
5939,452,3 tbsp dark soy sauce,dark soy sauce
5940,452,3 tbsp rice wine,rice wine
5941,452,2 bulbs of pak choi,pak choi
5942,452,"cooked rice, to serve",rice
5943,452,olive oil,olive oil
5944,453,bunch of chives,chives
5945,453,5 tbsp mayo,mayonnaise
5946,453,1 heaped tsp chilli jam,chilli jam
5947,453,1 heaped tsp chipotle paste,chipotle paste
5948,453,2 blocks of halloumi,halloumi cheese
5949,453,8 eggs,eggs
5950,453,4 brioche buns,brioche buns
5951,453,large knob of butter,butter
5952,454,2.5kg bone-in lamb shoulder ,lamb shoulder
5953,454,1 onion,onion
5954,454,1 carrot,carrot
5955,454,1 celery stick,celery
5956,454,3 garlic cloves,garlic
5957,454,3 thyme sprigs,thyme sprigs
5958,454,1 tbsp tomato puree,tomato puree
5959,454,250ml red wine,wine
5960,454,1 tin chopped tomatoes,tomatoes
5961,454,1 litre chicken stock,chicken stock
5962,454,"1 bunch parsley, chopped",parsley
5963,454,200g parmesan,parmesan
5964,454,400g tagliatelle,tagliatelle
5965,454,salt,salt
5966,454,olive oil,olive oil
5967,455,8 onions,onions
5968,455,100g unsalted butter,butter
5969,455,100g white miso paste,miso paste
5970,456,4 bulbs of garlic,garlic
5971,456,700g puff pastry,puff pastry
5972,456,200g pancetta,pancetta
5973,456,"1kg boneless, skinless chicken thighs",chicken thighs
5974,456,20g butter,butter
5975,456,1 onion,onion
5976,456,sprig of rosemary,rosemary
5977,456,sprig of thyme,thyme
5978,456,40g flour,flour
5979,456,500ml chicken stock,chicken stock
5980,456,200ml whole milk,milk
5981,456,1 egg,egg
5982,456,salt,salt
5983,456,pepper,pepper
5984,456,olive oil,olive oil
5985,457,4 tbsp cranberry sauce,cranberry sauce
5986,457,1 tbsp soy sauce,soy sauce
5987,457,1 tsp cinnamon,cinnamon
5988,457,2 cloves of garlic,garlic
5989,457,1 tbsp chinese five spice,five spice
5990,457,4 duck breasts,duck breasts
5991,457,2 x 250g pouches of fragrant jasmine tilda rice,jasmine rice
5992,457,1 tbsp black onion seeds,black onion seeds
5993,457,2 spring onions,spring onions
5994,457,salt,salt
5995,457,pepper,pepper
5996,457,vegetable oil,vegetable oil
5997,458,24 raw peeled king prawns,king prawns
5998,458,2 tbsp cajun spice mix,cajun spice mix
5999,458,150ml buttermilk,buttermilk
6000,458,150g polenta,polenta
6001,458,100g plain flour,flour
6002,458,1 red onion,onion
6003,458,2 large sweet gherkins,gherkins
6004,458,6 tbsp mayonnaise,mayonnaise
6005,458,4 tsp ketchup,ketchup
6006,458,1 tsp american mustard,mustard
6007,458,2 tsp gherkin brine,pickle juice
6008,458,iceberg lettuce,lettuce
6009,458,2 tomatoes,tomatoes
6010,458,handful of chives,chives
6011,458,4 sub rolls or a baguette,sub rolls or baguette
6012,458,hot sauce,sauce
6013,458,salt,salt
6014,458,pepper,pepper
6015,459,3 red onions,onions
6016,459,handful of coriander leaves,coriander
6017,459,"3cm ginger, grated",ginger
6018,459,2 tsp ground garam masala,garam masala
6019,459,2 tsp cumin seeds,cumin seeds
6020,459,2 tsp curry powder,curry powder
6021,459,1 tsp baking powder,powder
6022,459,4 tbsp gram flour,flour
6023,459,6 tbsp water,water
6024,459,8 british lion eggs,eggs
6025,459,"mango chutney, to serve",mango chutney
6026,459,salt,salt
6027,460,1 butternut squash,butternut squash
6028,460,1 onion,onion
6029,460,1 clove of garlic,garlic
6030,460,handful of rosemary,rosemary
6031,460,1 tsp chilli flakes,chilli
6032,460,25g panko breadcrumbs,panko breadcrumbs
6033,460,6 pork sausages,pork sausages
6034,460,1⁄2 tsp fennel seeds,fennel seeds
6035,460,300ml chicken stock,chicken stock
6036,460,500g fresh gnocchi,gnocchi
6037,460,150g mascarpone,mascarpone
6038,460,30g parmesan,parmesan
6039,460,salt,salt
6040,460,pepper,pepper
6041,460,olive oil,olive oil
6042,461,1l boiling water,boiling water
6043,461,40g sugar,sugar
6044,461,20g salt,salt
6045,461,4 chicken legs,chicken legs
6046,461,40g ginger,ginger
6047,461,45g scotch bonnet chillies,chillies
6048,461,3 spring onions,spring onions
6049,461,2 onions,onions
6050,461,1 bulb of garlic,garlic
6051,461,2 tsp thyme,thyme
6052,461,2 tsp ground allspice,allspice
6053,461,2 tsp ground cinnamon,cinnamon
6054,461,2 tsp ground nutmeg,nutmeg
6055,461,2 limes,lime
6056,461,150ml soy sauce,soy sauce
6057,461,45g brown sugar,sugar
6058,461,60ml vegetable oil,vegetable oil
6059,461,"coleslaw, to serve",coleslaw
6060,461,"hard dough bread, to serve",sourdough bread
6061,461,salt,salt
6062,462,3 shallots,shallots
6063,462,3 stalks of lemongrass,lemongrass
6064,462,4 green finger chillis,finger chili
6065,462,3 cloves of garlic,garlic
6066,462,2cm piece of galangal or ginger,galangal or ginger
6067,462,zest of 1⁄2 lime,lime
6068,462,handful of coriander leaves and stems,coriander leaves
6069,462,1 tsp fish sauce,fish sauce
6070,462,600g chicken thigh fillets,chicken thigh
6071,462,1 aubergine,aubergine
6072,462,400ml coconut milk,coconut milk
6073,462,200ml chicken stock,chicken stock
6074,462,125g green beans,green beans
6075,462,1 tsp brown sugar,brown sugar
6076,462,juice of 1/2 lime,lime
6077,462,1 tsp fish sauce,fish sauce
6078,462,handful of coriander leaves,coriander leaves
6079,462,salt,salt
6080,462,vegetable oil,vegetable oil
6081,463,480g frozen raw king prawns ,king prawns
6082,463,2cm knob of ginger,ginger
6083,463,1 garlic clove,garlic
6084,463,100g sesame seeds,sesame seeds
6085,463,2 tsp soy sauce,soy sauce
6086,463,1 tsp sesame oil,sesame oil
6087,463,1 tsp white sugar,sugar
6088,463,1 egg white,egg white
6089,463,4 spring onions,spring onions
6090,463,8 slices of white bread,bread
6091,463,vegetable oil,vegetable oil
6092,463,1 tbsp soy sauce,soy sauce
6093,463,2 tbsp shaoxing wine,shaoxing wine
6094,464,3cm knob of ginger,ginger
6095,464,2 cloves of garlic,garlic
6096,464,4 spring onions,spring onions
6097,464,1 red chilli,chilli
6098,464,2 chicken breasts,chicken breasts
6099,464,1 tsp worcestershire sauce,worcestershire sauce
6100,464,1 tsp soy sauce,soy sauce
6101,464,20g miso paste,miso paste
6102,464,20g softened butter,butter
6103,464,10g cornflour,cornflour
6104,464,4 eggs,eggs
6105,464,1 chicken stock cube,chicken stock
6106,464,360g instant noodles,noodles
6107,464,1.2l boiling water,boiling water
6108,464,60g spinach,spinach
6109,465,1.2kg bramley apples,apples
6110,465,80g soft brown sugar,sugar
6111,465,1 lemon,lemon
6112,465,75ml water,water
6113,465,200g plain flour,flour
6114,465,1⁄2 tsp cinnamon,cinnamon
6115,465,pinch of nutmeg,nutmeg
6116,465,170g cold butter,butter
6117,465,50g soft brown sugar,sugar
6118,465,80g demerara sugar,demerara sugar
6119,465,75g rolled oats,oats
6120,465,"vanilla ice cream, to serve",vanilla ice cream
6121,466,200g red chillis ,chillies
6122,466,150g red peppers,peppers
6123,466,1 kg jam sugar,granulated white sugar
6124,466,600ml apple cider vinegar,apple cider vinegar
6125,467,5 cloves of garlic,garlic
6126,467,1 tsp fennel seeds,fennel seeds
6127,467,500g pork mince,pork mince
6128,467,150g ground pork fat ,pork
6129,467,15ml apple cider vinegar,apple cider vinegar
6130,467,1/2 tbsp ancho chilli flakes,chilli
6131,467,1/2 tbsp hot smoked paprika,paprika
6132,467,2 tsp salt,salt
6133,467,1 tsp black pepper,pepper
6134,467,1 tsp oregano,oregano
6135,467,1 tsp thyme,thyme
6136,467,1 tsp cumin,cumin
6137,468,60g mushrooms,mushrooms
6138,468,4 spring onions,spring onions
6139,468,2 cloves of garlic,garlic
6140,468,2cm knob of ginger,ginger
6141,468,1 carrot,carrot
6142,468,2 tsp soy sauce,soy sauce
6143,468,100g silken tofu,tofu
6144,468,1 tsp turmeric,turmeric
6145,468,500g cooked rice,rice
6146,468,25g pea shoots,pea shoots
6147,468,2 tbsp sesame seeds,sesame seeds
6148,468,salt,salt
6149,468,vegetable oil,vegetable oil
6150,469,500g halloumi,halloumi
6151,469,1 1⁄2 heaped tsp chilli powder,chilli powder
6152,469,1 heaped tsp turmeric,turmeric
6153,469,2 tsp garam masala,garam masala
6154,469,1 cauliflower,cauliflower
6155,469,bunch of coriander,coriander
6156,469,400g basmati rice,basmati rice
6157,469,400ml coconut milk,coconut milk
6158,469,800g plum tomatoes ,tomatoes
6159,469,2 brown onions,onions
6160,469,1 1/2 tbsp tomato puree,tomato puree
6161,469,2 cloves of garlic,garlic
6162,469,knob of ginger,ginger
6163,469,vegetable oil,vegetable oil
6164,470,600g skinless chicken thigh fillets,chicken thigh
6165,470,2 tbsp greek-style yoghurt,yoghurt
6166,470,3cm fresh root ginger,ginger root
6167,470,6 garlic cloves,garlic
6168,470,1 tbsp ground coriander,coriander
6169,470,1 tsp ground cumin,cumin
6170,470,2 tsp kashmiri chilli powder,chilli powder
6171,470,juice of 1⁄2 lemon,lemon
6172,470,1⁄2 tsp salt,salt
6173,470,500g passata,passata
6174,470,4 tbsp sour cream,sour cream
6175,470,1⁄2 tsp chilli powder,chilli powder
6176,470,1⁄2 tsp garam masala,garam masala
6177,470,75g salted butter,butter
6178,470,"1⁄2 tsp dried fenugreek leaves, soaked in 1 tsp hot water",fenugreek leaves
6179,470,"handful of coriander, to garnish",coriander
6180,470,"crushed toasted cashews, to garnish",cashews
6181,470,salt,salt
6182,470,vegetable oil,vegetable oil
6183,471,100g rolled oats,oats
6184,471,1 litre cold water,water
6185,471,2 tsp honey,honey
6186,472,300g almonds,almonds
6187,472,2 tsp smoked sea salt ,sea salt
6188,473,2 red onions,onions
6189,473,bunch of coriander,coriander
6190,473,8 large british lion eggs,eggs
6191,473,2 tsp turmeric,turmeric
6192,473,2 tsp garam masala,garam masala
6193,473,1 1/2 tsp chilli powder,chilli powder
6194,473,200g spinach,spinach
6195,473,400g cherry tomatoes,cherry tomatoes
6196,473,1/2 cucumber,cucumber
6197,473,1 lemon,lemon
6198,473,"mango chutney, to serve",mango chutney
6199,473,"natural yoghurt, to serve",yoghurt
6200,474,60g rocket,rocket
6201,474,4 pitta breads,pita bread
6202,474,2 heaped tbsp kalamata olives,kalamata olives
6203,474,7 sun-dried tomatoes,sun-dried tomatoes
6204,474,6 tbsp cottage cheese,cottage cheese
6205,474,200g cherry tomatoes,cherry tomatoes
6206,474,2 minute steaks,sirloin steak
6207,474,1 lemon,lemon
6208,474,380g pesto,pesto
6209,474,salt,salt
6210,474,pepper,pepper
6211,475,1 red pepper,pepper
6212,475,8 chestnut mushrooms,chestnut mushrooms
6213,475,4 spring onions,spring onions
6214,475,1 large red onion,onion
6215,475,60g tenderstem broccoli,broccoli
6216,475,4 cloves of garlic,garlic
6217,475,3cm knob of ginger,ginger
6218,475,60g kale,kale
6219,475,300g buckwheat soba noodles,buckwheat soba noodles
6220,475,2 tsp sugar,sugar
6221,475,40ml sriracha,sriracha
6222,475,40ml soy sauce,soy sauce
6223,475,60g beansprouts,beansprouts
6224,475,handful of coriander,coriander
6225,475,1 tbsp sesame seeds,sesame seeds
6226,475,vegetable oil,vegetable oil
6227,476,600g minute steaks,sirloin steak
6228,476,3 tbsp cornflour,cornflour
6229,476,300g tenderstem broccoli,broccoli
6230,476,6 spring onions,spring onions
6231,476,1 large knob of ginger,ginger
6232,476,3 cloves of garlic,garlic
6233,476,2 tbsp sesame oil,sesame oil
6234,476,1 tbsp chilli oil ,chilli oil
6235,476,1 1/2 tbsp runny honey,honey
6236,476,1 tbsp rice vinegar,rice vinegar
6237,476,6 tbsp soy sauce,soy sauce
6238,476,400g ready-to-eat jasmine rice,jasmine rice
6239,476,handful of sesame seeds,sesame seeds
6240,476,vegetable oil,vegetable oil
6241,477,handful of almonds,almonds
6242,477,1 chorizo ring,chorizo
6243,477,18 spring onions,spring onions
6244,477,50g jarred roasted peppers,peppers
6245,477,2 tbsp red wine vinegar,wine vinegar
6246,477,1 heaped tbsp tomato puree,tomato puree
6247,477,2 tbsp creme fraiche,creme fraiche
6248,477,450g rigatoni,rigatoni
6249,477,bunch of parsley,parsley
6250,477,salt,salt
6251,477,pepper,pepper
6252,478,bunch of parsley ,parsley
6253,478,500g spaghetti,spaghetti
6254,478,2 tsp chilli flakes,chilli
6255,478,8 cloves of garlic,garlic
6256,478,1 lemon,lemon
6257,478,salt,salt
6258,478,pepper,pepper
6259,478,6 tbsp good quality olive oil,olive oil
6260,479,1/2 tsp nigella seeds,nigella seeds
6261,479,1/2 tsp coriander seeds,coriander seeds
6262,479,1 pinch of freshly ground black pepper,pepper
6263,479,1/2 tsp urfa chilli flakes,urfa chilli
6264,479,100g runny honey,honey
6265,479,500g halloumi,halloumi
6266,479,1 lemon,lemon
6267,479,olive oil,olive oil
6268,480,2 brown onions,onions
6269,480,2 cloves of garlic,garlic
6270,480,5cm piece of ginger,ginger
6271,480,4 tbsp mild curry powder,curry powder
6272,480,2 tsp turmeric,turmeric
6273,480,2 tbsp plain flour,flour
6274,480,600ml vegetable stock,vegetable stock
6275,480,200ml coconut milk,coconut milk
6276,480,2 tsp light soy sauce,soy sauce
6277,480,2 tsp brown sugar,sugar
6278,480,2 tbsp chilli flakes,chilli
6279,480,50ml sriracha,sriracha
6280,480,tabasco,tabasco
6281,480,2 large chicken breasts,chicken breasts
6282,480,2 eggs,eggs
6283,480,50g flour,flour
6284,480,60g panko breadcrumbs,panko breadcrumbs
6285,480,500g cooked rice,rice
6286,480,40g mixed leaves ,leaves
6287,480,salt,salt
6288,480,vegetable oil,vegetable oil
6289,481,1 sweet potato,potato
6290,481,1 corn on the cob,corn
6291,481,600g white fish ,fish
6292,481,160ml fresh lime juice ,lime juice
6293,481,1 1/4 red onion,onion
6294,481,1/2 celery stalk,celery
6295,481,bunch of coriander,coriander
6296,481,1 red chilli,chilli
6297,481,salt,salt
6298,481,pepper,pepper
6299,482,1 sheet puff pastry,puff pastry
6300,482,1 onion,onion
6301,482,2 tbsp dried rosemary,rosemary
6302,482,1 tbsp fennel seeds,fennel seeds
6303,482,1 tbsp red pesto,pesto
6304,482,150g mozzarella,mozzarella
6305,482,6 pork sausages,pork sausages
6306,482,3 egg yolks,egg
6307,482,salt,salt
6308,482,pepper,pepper
6309,482,olive oil,olive oil
6310,483,6 egg yolks,egg
6311,483,300g streaky smoked bacon,streaky bacon
6312,483,75g pecorino,pecorino
6313,483,75g parmesan,parmesan
6314,483,500g spaghetti,spaghetti
6315,483,2 cloves of garlic,garlic
6316,483,salt,salt
6317,483,pepper,pepper
6318,484,360g plain flour,flour
6319,484,2 tbsp softened butter,butter
6320,484,1 egg,egg
6321,484,"water, as needed",water
6322,484,4 medium potatoes,potatoes
6323,484,bunch of chives,chives
6324,484,bunch of parsley,parsley
6325,484,bunch of coriander,coriander
6326,484,1 clove of garlic,garlic
6327,484,2 tsp thyme,thyme
6328,484,"vegetable oil, to fry",vegetable oil
6329,484,3 cloves of garlic,garlic
6330,484,1 lemon,lemon
6331,484,1/2 kg green tomatoes,tomatoes
6332,484,3 green hot chillis,chillies
6333,484,handful of parsley,parsley
6334,484,handful of coriander,coriander
6335,484,handful of mint,mint
6336,484,1 tsp dried mint,mint
6337,484,1 tsp oregano,oregano
6338,484,1 tsp thyme,thyme
6339,484,tabasco,tabasco
6340,484,2 cloves of garlic,garlic
6341,484,250ml of whole milk yoghurt,milk yoghurt
6342,484,1 lemon,lemon
6343,484,1 tsp dried mint,mint
6344,484,1 tsp oregano,oregano
6345,484,1/2 tsp salt,salt
6346,484,ice cubes,ice
6347,484,350ml chilled water,water
6348,484,mint leaves,mint leaves
6349,484,a slice of lemon,lemon
6350,484,salt,salt
6351,484,pepper,pepper
6352,485,2 red chillies,chillies
